"Sales","Sales"
"Shipping","Shipping"
"Shipping Table Rates","Shipping Table Rates"
"Add New Rate","Add New Rate"
"No table rates found.","No table rates found."
"Dest Country","Dest Country"
"Dest Region/State","Dest Region/State"
"Dest Zip/Postal Code","Dest Zip/Postal Code"
"Condition Name","Condition Name"
"Condition Value","Condition Value"
"Price","Price"
"Cost","Cost"
"Notes","Notes"
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure?","Are you sure?"
"Save Rate","Save Rate"
"Delete Rate","Delete Rate"
"Edit Rate '%s'","Edit Rate '%s'"
"New Rate","New Rate"
"Edit Rate","Edit Rate"
"Rate Information","Rate Information"
"'*' or blank - matches any","'*' or blank - matches any"
"All Websites","All Websites"
"Choose Website","Choose Website"
"Please confirm website switching. All data that hasn't been saved will be lost.","Please confirm website switching. All data that hasn't been saved will be lost."
"Duplicate rate.","Duplicate rate."
"This rate no longer exists.","This rate no longer exists."
"The rate has been saved.","The rate has been saved."
"An error occurred while saving the rate.","An error occurred while saving the rate."
"The rate has been deleted.","The rate has been deleted."
"Unable to find a rate to delete.","Unable to find a rate to delete."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Please select rate(s).","Please select rate(s)."
